Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2021-01-29 2:11PM","2021-01-29 5:46PM","189","26","15","215","23","127","39"
"2021-01-29 2:05AM","2021-01-29 7:52AM","306","41","26","347","43","221","42"
"2021-01-28 12:20PM","2021-01-28 3:57PM","170","47","12","217","0","132","38"
"2021-01-28 5:16AM","2021-01-28 9:46AM","244","26","14","270","56","143","45"
"2021-01-27 1:30PM","2021-01-27 7:35PM","307","57","30","364","63","172","72"
"2021-01-26 8:56PM","2021-01-27 12:15AM","177","22","16","199","59","76","42"
"2021-01-26 4:35PM","2021-01-26 7:46PM","166","25","16","191","22","102","42"
"2021-01-26 2:25AM","2021-01-26 7:59AM","295","39","23","334","27","211","57"
"2021-01-25 2:08AM","2021-01-25 9:29AM","378","63","22","441","10","280","88"
"2021-01-24 12:13AM","2021-01-24 8:59AM","420","106","29","526","80","289","51"
"2021-01-23 2:52AM","2021-01-23 11:34AM","422","99","35","521","7","352","63"
"2021-01-21 11:24PM","2021-01-22 7:31AM","401","86","34","487","17","304","80"
"2021-01-20 10:24PM","2021-01-21 6:49AM","437","68","45","505","69","323","45"
"2021-01-20 3:26PM","2021-01-20 6:15PM","32","115","0","169","N/A","N/A","N/A"
"2021-01-20 10:49AM","2021-01-20 1:28PM","38","88","1","159","N/A","N/A","N/A"
"2021-01-20 6:42AM","2021-01-20 8:02AM","2","24","4","80","N/A","N/A","N/A"
"2021-01-19 11:13PM","2021-01-20 5:25AM","312","60","51","372","30","232","50"
"2021-01-19 1:10PM","2021-01-19 6:45PM","276","59","42","335","13","202","61"
"2021-01-19 7:27AM","2021-01-19 9:23AM","42","74","0","116","N/A","N/A","N/A"
"2021-01-18 10:36PM","2021-01-19 5:04AM","336","52","31","388","28","242","66"
"2021-01-18 3:06PM","2021-01-18 8:06PM","253","47","14","300","60","129","64"
"2021-01-18 2:34AM","2021-01-18 7:55AM","280","41","15","321","33","231","16"
"2021-01-17 2:22AM","2021-01-17 7:34AM","269","43","18","312","46","175","48"
"2021-01-15 11:41PM","2021-01-16 7:14AM","385","68","16","453","62","298","25"
"2021-01-15 12:44AM","2021-01-15 7:38AM","365","49","14","414","14","249","102"
"2021-01-14 1:12AM","2021-01-14 6:56AM","279","65","22","344","35","151","93"
"2021-01-13 12:21AM","2021-01-13 7:04AM","345","57","17","402","25","280","40"
"2021-01-12 2:37AM","2021-01-12 8:40AM","282","81","19","363","39","202","41"
"2021-01-11 12:17AM","2021-01-11 8:05AM","381","87","25","468","19","293","69"
"2021-01-09 11:53PM","2021-01-10 6:54AM","350","71","21","421","30","240","80"
"2021-01-09 1:54AM","2021-01-09 8:59AM","322","102","12","424","81","169","72"
"2021-01-07 6:13PM","2021-01-08 4:00AM","493","94","36","587","58","340","95"
"2021-01-06 6:51PM","2021-01-07 2:17AM","378","68","43","446","53","295","30"
"2021-01-05 10:23PM","2021-01-06 3:36AM","251","62","18","313","0","186","65"
"2021-01-04 5:45PM","2021-01-05 12:55AM","356","74","40","430","28","287","41"
"2021-01-04 1:30AM","2021-01-04 4:04AM","67","69","1","154","N/A","N/A","N/A"
"2021-01-03 9:40AM","2021-01-03 7:56PM","504","112","69","616","70","366","68"
"2021-01-03 2:57AM","2021-01-03 7:32AM","241","34","19","275","18","187","36"
"2021-01-02 9:39PM","2021-01-03 12:21AM","53","42","1","162","N/A","N/A","N/A"
"2021-01-02 1:52PM","2021-01-02 8:26PM","336","58","31","394","46","246","44"
"2021-01-01 7:12PM","2021-01-01 11:45PM","233","40","21","273","36","171","26"
"2021-01-01 5:47AM","2021-01-01 12:46PM","362","57","30","419","64","228","70"
"2020-12-31 11:26PM","2021-01-01 1:45AM","59","22","1","139","N/A","N/A","N/A"

